index,merchant_name,merchant_address,brand_name,category,store_address,lat,long,dist,city
347,CÀ PHÊ NANA,"523 Đỗ Xuân Hợp, P.Phước Long B, Q.9, TP.HCM",Cà Phê Nana,coffee chains and milk tea,"523 Đỗ Xuân Hợp, P.Phước Long B, Q.9",10.81555,106.77467,Quận 9,Hồ Chí Minh
348,CÀ PHÊ VIVA CHÍN CHÍN,"99 Đất Thánh, Phường 6, Quận Tân Bình, Thành Phố Hồ Chí Minh, VIỆT NAM",Cà Phê Viva Chín Chín,coffee chains and milk tea,"99 Đất Thánh, P.6, Q.Tân Bình",10.78324,106.657888,Quận Tân Bình,Hồ Chí Minh
349,CÀ PHÊ VIVA CHÍN CHÍN,"99 Đất Thánh, Phường 6, Quận Tân Bình, Thành Phố Hồ Chí Minh, VIỆT NAM",Cà Phê Viva Chín Chín,coffee chains and milk tea,"34 Đông Hồ, P.4, Q.8",10.74213,106.67055,Quận 8,Hồ Chí Minh
350,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI DỊCH VỤ NAM QUỐC,"29 25, Phường Hiệp Bình Chánh, Quận Thủ Đức, Thành Phố Hồ Chí Minh, VIỆT NAM",Cachi Tea,coffee chains and milk tea,"38D Trường Sa, P.15, Q.Bình Thạnh",10.7938519,106.7004983,Quận Bình Thạnh,Hồ Chí Minh
351,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI DỊCH VỤ NAM QUỐC,"29 25, Phường Hiệp Bình Chánh, Quận Thủ Đức, Thành Phố Hồ Chí Minh, VIỆT NAM",Cachi Tea,coffee chains and milk tea,"425 Chu Văn An, P.12, Q.Bình Thạnh",10.81132,106.69578,Quận Bình Thạnh,Hồ Chí Minh
352,CAFE 63,"63 Trần Nhân Tông, Phường Bùi Thị Xuân, Quận Hai Bà Trưng, Hà Nội, VIỆT NAM",Cafe 63,coffee chains and milk tea,"63 Trần Nhân Tông, P.Bùi Thị Xuân, Q.Hai Bà Trưng",21.01696,105.84939,Quận Hai Bà Trưng,Hà Nội
353,CAFE BABA,"33 Pháo Đài Láng, Phường Láng Thượng, Quận Đống Đa, Hà Nội, VIỆT NAM",Cafe Baba,coffee chains and milk tea,"33 Pháo Đài Láng, P.Láng Thượng, Q.Đống Đa",21.02023,105.80736,Quận Đống Đa,Hà Nội
354,HỘ KINH DOANH CAFE BERNARD,"2 Nguyễn Sơn Hà, Phường 5, Quận 3, Thành Phố Hồ Chí Minh, VIỆT NAM",Cafe Bernard,coffee chains and milk tea,"2 Nguyễn Sơn Hà, P.5, Q.3",10.76888,106.68371,Quận 3,Hồ Chí Minh
355,CAFE BÙI,"63B Nguyễn Khuyến, Phường Văn Miếu, Quận Đống Đa, Hà Nội, VIỆT NAM",Cafe Bùi,coffee chains and milk tea,"63B Nguyễn Khuyến, P.Văn Miếu, Q.Đống Đa",21.02814,105.83928,Quận Đống Đa,Hà Nội
356,CAFE HÀO NAM,"32B Hào Nam, Phường Trung Liệt, Quận Đống Đa, Hà Nội, VIỆT NAM",Cafe Hào Nam,coffee chains and milk tea,"32B Hào Nam, P.Phương Liên, Q.Đống Đa",21.02257,105.82662,Quận Đống Đa,Hà Nội
357,CAFÉ LÊ GIA,"133 Nguyễn Thị Thập, P.Tân Phú, Q.7, TP.HCM",Café Lê Gia,coffee chains and milk tea,"133 Nguyễn Thị Thập, P.Tân Phú, Q.7",10.73808,106.72049,Quận 7,Hồ Chí Minh
358,CAFE LEO,"487/57 Huỳnh Tấn Phát, P.Tân Thuận Đông, Q.7, TP.HCM",Cafe Leo,coffee chains and milk tea,"487/57 Huỳnh Tấn Phát, P.Tân Thuận Đông, Q.7",10.74516,106.72928,Quận 7,Hồ Chí Minh
359,CAFE LINH,"20/91 Nguyễn Chí Thanh, P.Láng Hạ, Quận Đống Đa, Hà Nội",Cafe Linh,coffee chains and milk tea,"20/91 Nguyễn Chí Thanh, P.Láng Hạ, Q.Đống Đa",21.02132,105.80917,Quận Đống Đa,Hà Nội
360,CAFE MILANO NAM KỲ KHỞI NGHĨA,"281/1A Nam Kỳ Khởi Nghĩa, Phường 7, Quận 3, Thành Phố Hồ Chí Minh, VIỆT NAM",Cafe Milano Nam Kỳ Khởi Nghĩa,coffee chains and milk tea,"281/1A Nam Kỳ Khởi Nghĩa, P.7, Q.3",10.78971,106.68403,Quận 3,Hồ Chí Minh
361,CAFE MUỐI,"12 Tông Đản, Phường Tràng Tiền, Quận Hoàn Kiếm, Hà Nội, VIỆT NAM",Cafe Muối,coffee chains and milk tea,"12 Tông Đản, P.Tràng Tiền, Q.Hoàn Kiếm",21.0276,105.85741,Quận Hoàn Kiếm,Hà Nội
362,CAFE MUỐI,"12 Tông Đản, Phường Tràng Tiền, Quận Hoàn Kiếm, Hà Nội, VIỆT NAM",Cafe Muối,coffee chains and milk tea,"18A Lê Thánh Tông, P.Phan Chu Trinh, Q.Hoàn Kiếm",21.02305,105.85744,Quận Hoàn Kiếm,Hà Nội
363,CAFE PHIM JONES COFFEE FILM,"44 ngõ 19 Trần Quang Diệu, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội, VIỆT NAM",Cafe Phim Jones Coffee Film,coffee chains and milk tea,"44 Trần Quang Diệu, P.Ô Chợ Dừa, Q.Đống Đa",21.01532,105.82432,Quận Đống Đa,Hà Nội
364,CAFE BERNARD 123,"2 Nguyễn Sơn Hà, P.5, Q.3, TP.HCM",Cafe Bernard 123,coffee chains and milk tea,"2 Nguyễn Sơn Hà, P.5, Q.3",10.76888,106.68371,Quận 3,Hồ Chí Minh
365,CATINA BAGEL,"98/201 Nguyễn Huệ, Phường Bến Nghé, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM",Catina Bagel,coffee chains and milk tea,"98/201 Nguyễn Huệ, P.Bến Nghé, Q.1",10.77543,106.70242,Quận 1,Hồ Chí Minh
366,CHÂN GÀ NƯỚNG,"số 3 G4-12 Nguyên Hồng, Phường Láng Hạ, Quận Đống Đa, Hà Nội, VIỆT NAM",Chân Gà Nướng,fast food,"101G5 Nguyên Hồng, P.Láng Hạ, Q.Đống Đa",21.01646,105.81074,Quận Đống Đa,Hà Nội
367,CHÂN GÀ RANG MUỐI,"334 Thái Hà, P.Trung Liệt, Quận Đống Đa, Hà Nội",Chân Gà Rang Muối,fast food,"334 Thái Hà, P.Trung Liệt, Q.Đống Đa",21.01476,105.81798,Quận Đống Đa,Hà Nội
368,CÔNG TY TNHH MTV NHÀ HÀNG HOÀNG YẾN,"148 Hai Bà Trưng, Đa Kao, Quận 1, Hồ Chí Minh, Việt Nam",Chảo Cá,restaurant,"101 Tôn Dật Tiên, P.Tân Phú, Q.7",10.72745,106.7194,Quận 7,Hồ Chí Minh
369,CÔNG TY TNHH MTV NHÀ HÀNG HOÀNG YẾN,"148 Hai Bà Trưng, Đa Kao, Quận 1, Hồ Chí Minh, Việt Nam",Chảo Cá,restaurant,"161 Xa Lộ Hà Nội, Thảo Điền, Q.2",10.80204,106.7411,Quận 2,Hồ Chí Minh
370,CÔNG TY TNHH MTV NHÀ HÀNG HOÀNG YẾN,"148 Hai Bà Trưng, Đa Kao, Quận 1, Hồ Chí Minh, Việt Nam",Chảo Cá,restaurant,"1058 Nguyễn Văn Linh, P.Tân Phong, Q.7",10.7290751,106.7051179,Quận 7,Hồ Chí Minh
371,CÔNG TY TNHH MTV NHÀ HÀNG HOÀNG YẾN,"148 Hai Bà Trưng, Đa Kao, Quận 1, Hồ Chí Minh, Việt Nam",Chảo Cá,restaurant,"30 Bờ Bao Tân Thắng, P.Sơn Kỳ, Q.Tân Phú",10.80659,106.62176,Quận Tân Phú,Hồ Chí Minh
372,CÔNG TY TNHH MTV NHÀ HÀNG HOÀNG YẾN,"148 Hai Bà Trưng, Đa Kao, Quận 1, Hồ Chí Minh, Việt Nam",Chảo Cá,restaurant,"561A Điện Biên Phủ, P.25, Q.Bình Thạnh",10.79964,106.71835,Quận Bình Thạnh,Hồ Chí Minh
373,CHÁO ẾCH SENTOSA,"177 Tô Hiến Thành, Phường 13, Quận 10, Thành Phố Hồ Chí Minh, VIỆT NAM",Cháo Ếch Sentosa,restaurant,"124 Phan Xích Long, P.2, Q.Phú Nhuận",10.79894,106.68677,Quận Phú Nhuận,Hồ Chí Minh
374,CHÁO ẾCH SENTOSA,"177 Tô Hiến Thành, Phường 13, Quận 10, Thành Phố Hồ Chí Minh, VIỆT NAM",Cháo Ếch Sentosa,restaurant,"177 Tô Hiến Thành, P.13, Q.10",10.78016,106.66849,Quận 10,Hồ Chí Minh
375,HỘ KINH DOANH DỊCH VỤ ĂN BÍCH ĐÀO,"số 1 ngõ 111 đường Láng Hạ, Phường Láng Hạ, Quận Đống Đa, Hà Nội, VIỆT NAM",Cháo Ếch Singapore,restaurant,"111 Láng Hạ, P.Láng Hạ, Q.Đống Đa",21.01242,105.8123,Quận Đống Đa,Hà Nội
376,CHÁO GIA TRUYỀN THANH TÂM,"224C4 Vĩnh Hồ, P.Ngã Tư Sở, Quận Đống Đa, Hà Nội",Cháo Gia Truyền Thanh Tâm,fast food,"224C4 Vĩnh Hồ, P.Ngã Tư Sở, Q.Đống Đa",21.00547,105.82167,Quận Đống Đa,Hà Nội
377,CHÈ BƯỞI VĨNH LONG ,"220 Tô Hiến Thành, Phường 15, Quận 10, Thành Phố Hồ Chí Minh, VIỆT NAM",Chè Bưởi Vĩnh Long,fast food,"220 Tô Hiến Thành, P.15, Q.10",10.77895,106.66688,Quận 10,Hồ Chí Minh
378,CHÈ KHÚC BẠCH ĐỖ NGỌC,"245/23 Nguyễn Trãi, Phường Nguyễn Cư Trinh, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM",Chè Khúc Bạch Đỗ Ngọc,fast food,"245/23 Nguyễn Trãi, P.Nguyễn Cư Trinh, Q.1",10.76464,106.6875,Quận 1,Hồ Chí Minh
379,CHÈ KHÚC BẠCH ĐỖ NGỌC,"245/23 Nguyễn Trãi, Phường Nguyễn Cư Trinh, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM",Chè Khúc Bạch Đỗ Ngọc,fast food,"159 Bàu Cát, P.14, Q.Tân Bình",10.79218,106.64333,Quận Tân Bình,Hồ Chí Minh
380,CHÈ NGON BÉ CHUN,"68 Nguyễn Chí Thanh, P.Láng Thượng, Quận Đống Đa, Hà Nội",Chè Ngon Bé Chun,fast food,"68 Nguyễn Chí Thanh, P.Láng Thượng, Q.Đống Đa",21.01911,105.80771,Quận Đống Đa,Hà Nội
381,CHÈ NGON MẸ NHÍM,"80 Bàn Cờ, Phường 3, Quận 3, Thành Phố Hồ Chí Minh, VIỆT NAM",Chè Ngon Mẹ Nhím,fast food,"80 Bàn Cờ, P.3, Q.3",10.77057,106.67948,Quận 3,Hồ Chí Minh
382,CHÈ SẦU LIÊN,"630A Trường Chinh, Phường Khương Thượng, Quận Đống Đa, Hà Nội, VIỆT NAM",Chè Sầu Liên,fast food,"630A Trường Chinh, P.Khương Thượng, Q.Đống Đa",21.00281,105.82143,Quận Thanh Xuân,Hà Nội
383,CHÈ SẦU LIÊN,"630A Trường Chinh, Phường Khương Thượng, Quận Đống Đa, Hà Nội, VIỆT NAM",Chè Sầu Liên,fast food,"233 Minh Khai, P.Vĩnh Tuy, Q.Hai Bà Trưng",20.99526,105.85526,Quận Hai Bà Trưng,Hà Nội
384,CHÈ SẦU THỂ GIAO,"Số 151 Ô Chợ Dừa, P.Ô Chợ Dừa, Quận Đống Đa, Hà Nội",Chè sầu Thể Giao,fast food,"151 Ô Chợ Dừa, P.Ô Chợ Dừa, Q.Đống Đa",21.02036,105.82636,Quận Đống Đa,Hà Nội
385,CHÈ VÀ TRÀ SỮA ĐÀI LOAN BLACKBALL,"62 Nguyễn Chí Thanh, Phường Láng Thượng, Quận Đống Đa, Hà Nội, VIỆT NAM",Chè Và Trà Sữa Đài Loan Blackball,coffee chains and milk tea,"62 Nguyễn Chí Thanh, P.Láng Thượng, Q.Đống Đa",21.02151,105.80902,Quận Đống Đa,Hà Nội
386,CÔNG TY TNHH MTV KINH DOANH TIỆN LỢI SÀI GÒN CO.OP,"199-205 Nguyễn Thái Học, Phường Phạm Ngũ Lão, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM",Cheers,cvs,"07 Phạm Viết Chánh, P.Phạm Ngũ Lão, Q.1",10.76856,106.69304,Quận 1,Hồ Chí Minh
387,CÔNG TY TNHH MTV KINH DOANH TIỆN LỢI SÀI GÒN CO.OP,"199-205 Nguyễn Thái Học, Phường Phạm Ngũ Lão, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM",Cheers,cvs,"116A Võ Văn Tần, P.6, Q.3",10.77543,106.68931,Quận 3,Hồ Chí Minh
388,CÔNG TY TNHH MTV KINH DOANH TIỆN LỢI SÀI GÒN CO.OP,"199-205 Nguyễn Thái Học, Phường Phạm Ngũ Lão, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM",Cheers,cvs,"18 Bùi Viện, P.Phạm Ngũ Lão, Q.1",10.76783,106.69493,Quận 1,Hồ Chí Minh
389,CÔNG TY TNHH MTV KINH DOANH TIỆN LỢI SÀI GÒN CO.OP,"199-205 Nguyễn Thái Học, Phường Phạm Ngũ Lão, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM",Cheers,cvs,"267 Phạm Ngũ Lão, P.Phạm Ngũ Lão, Q.1",10.76821,106.69211,Quận 1,Hồ Chí Minh
390,CÔNG TY TNHH MTV KINH DOANH TIỆN LỢI SÀI GÒN CO.OP,"199-205 Nguyễn Thái Học, Phường Phạm Ngũ Lão, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM",Cheers,cvs,"307 Lý Tự Trọng, P.Bến Thành, Q.1",10.77175,106.69391,Quận 1,Hồ Chí Minh
391,CÔNG TY TNHH MTV KINH DOANH TIỆN LỢI SÀI GÒN CO.OP,"199-205 Nguyễn Thái Học, Phường Phạm Ngũ Lão, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM",Cheers,cvs,"45 Phan Chu Trinh, P.Bến Thành, Q.1",10.77272,106.69731,Quận 1,Hồ Chí Minh
392,CÔNG TY TNHH MTV KINH DOANH TIỆN LỢI SÀI GÒN CO.OP,"199-205 Nguyễn Thái Học, Phường Phạm Ngũ Lão, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM",Cheers,cvs,"630 Âu Cơ, P.10, Q.Tân Bình",10.78431,106.64226,Quận Tân Bình,Hồ Chí Minh
393,CÔNG TY TNHH MTV KINH DOANH TIỆN LỢI SÀI GÒN CO.OP,"199-205 Nguyễn Thái Học, Phường Phạm Ngũ Lão, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM",Cheers,cvs,"59 Số 3, P.4, Q.3",10.77264,106.68224,Quận 3,Hồ Chí Minh
394,CÔNG TY TNHH MTV KINH DOANH TIỆN LỢI SÀI GÒN CO.OP,"199-205 Nguyễn Thái Học, Phường Phạm Ngũ Lão, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM",Cheers,cvs,"10A Trần Quốc Toản, P.8, Q.3",10.78941,106.68935,Quận 3,Hồ Chí Minh
395,CÔNG TY TNHH MTV KINH DOANH TIỆN LỢI SÀI GÒN CO.OP,"199-205 Nguyễn Thái Học, Phường Phạm Ngũ Lão, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM",Cheers,cvs,"157 Điện Biên Phủ, P.Đa Kao, Q.1",10.78812,106.69528,Quận 1,Hồ Chí Minh
396,CÔNG TY TNHH MTV KINH DOANH TIỆN LỢI SÀI GÒN CO.OP,"199-205 Nguyễn Thái Học, Phường Phạm Ngũ Lão, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM",Cheers,cvs,"177B Nguyễn Thị Minh Khai, P.Phạm Ngũ Lão, Q.1",10.77027,106.68629,Quận 1,Hồ Chí Minh
397,CÔNG TY TNHH MTV KINH DOANH TIỆN LỢI SÀI GÒN CO.OP,"199-205 Nguyễn Thái Học, Phường Phạm Ngũ Lão, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM",Cheers,cvs,"18 Cao Bá Quát, P.Bến Nghé, Q.1",10.77826,106.70447,Quận 1,Hồ Chí Minh
398,CÔNG TY TNHH MTV KINH DOANH TIỆN LỢI SÀI GÒN CO.OP,"199-205 Nguyễn Thái Học, Phường Phạm Ngũ Lão, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM",Cheers,cvs,"30 D5, P.25, Q.Bình Thạnh",10.80645,106.71352,Quận Bình Thạnh,Hồ Chí Minh
399,CÔNG TY TNHH MTV KINH DOANH TIỆN LỢI SÀI GÒN CO.OP,"199-205 Nguyễn Thái Học, Phường Phạm Ngũ Lão, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM",Cheers,cvs,"290 An Dương Vương, P.4, Q.5",10.76029,106.68104,Quận 5,Hồ Chí Minh
400,CÔNG TY TNHH MTV KINH DOANH TIỆN LỢI SÀI GÒN CO.OP,"199-205 Nguyễn Thái Học, Phường Phạm Ngũ Lão, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM",Cheers,cvs,"31A Huỳnh Văn Bánh, P.17, Q.Phú Nhuận",10.79515,106.68143,Quận Phú Nhuận,Hồ Chí Minh
401,CÔNG TY TNHH MTV KINH DOANH TIỆN LỢI SÀI GÒN CO.OP,"199-205 Nguyễn Thái Học, Phường Phạm Ngũ Lão, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM",Cheers,cvs,"332 Lý Thường Kiệt, P.14, Q.10",10.76955,106.65841,Quận 10,Hồ Chí Minh
402,CÔNG TY TNHH MTV KINH DOANH TIỆN LỢI SÀI GÒN CO.OP,"199-205 Nguyễn Thái Học, Phường Phạm Ngũ Lão, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM",Cheers,cvs,"328B Nguyễn Thượng Hiền, P.5, Q.Phú Nhuận",10.80542,106.68657,Quận Phú Nhuận,Hồ Chí Minh
403,CÔNG TY TNHH MTV KINH DOANH TIỆN LỢI SÀI GÒN CO.OP,"199-205 Nguyễn Thái Học, Phường Phạm Ngũ Lão, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM",Cheers,cvs,"343E Lạc Long Quân, P.5, Q.11",10.7676,106.64284,Quận 11,Hồ Chí Minh
404,CÔNG TY TNHH MTV KINH DOANH TIỆN LỢI SÀI GÒN CO.OP,"199-205 Nguyễn Thái Học, Phường Phạm Ngũ Lão, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM",Cheers,cvs,"364 Điện Biên Phủ, P.11, Q.10",10.77428,106.68081,Quận 10,Hồ Chí Minh
405,CÔNG TY TNHH MTV KINH DOANH TIỆN LỢI SÀI GÒN CO.OP,"199-205 Nguyễn Thái Học, Phường Phạm Ngũ Lão, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM",Cheers,cvs,"41 Nguyễn Huy Lượng, P.14, Q.Bình Thạnh",10.80561,106.69614,Quận Bình Thạnh,Hồ Chí Minh
406,CÔNG TY TNHH MTV KINH DOANH TIỆN LỢI SÀI GÒN CO.OP,"199-205 Nguyễn Thái Học, Phường Phạm Ngũ Lão, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM",Cheers,cvs,43 Thủ Khoa Huân P.Bến Thành Q.1,10.7742,106.69689,Quận 1,Hồ Chí Minh
407,CÔNG TY TNHH MTV KINH DOANH TIỆN LỢI SÀI GÒN CO.OP,"199-205 Nguyễn Thái Học, Phường Phạm Ngũ Lão, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM",Cheers,cvs,"65 D3, P.25, Q.Bình Thạnh",10.80402,106.71777,Quận Bình Thạnh,Hồ Chí Minh
408,CÔNG TY TNHH MTV KINH DOANH TIỆN LỢI SÀI GÒN CO.OP,"199-205 Nguyễn Thái Học, Phường Phạm Ngũ Lão, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM",Cheers,cvs,"779 Trần Hưng Đạo, P.1, Q.5",10.75543,106.68159,Quận 5,Hồ Chí Minh
409,CÔNG TY TNHH MTV KINH DOANH TIỆN LỢI SÀI GÒN CO.OP,"199-205 Nguyễn Thái Học, Phường Phạm Ngũ Lão, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM",Cheers,cvs,"510 Kinh Dương Vương, P.An Lạc, Q. Bình Tân",10.73746,106.61458,Quận Bình Tân,Hồ Chí Minh
410,CÔNG TY TNHH MTV KINH DOANH TIỆN LỢI SÀI GÒN CO.OP,"199-205 Nguyễn Thái Học, Phường Phạm Ngũ Lão, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM",Cheers,cvs,"58B Nguyễn Thị Thập, P.Bình Thuận, Q.7",10.73774,106.72657,Quận 7,Hồ Chí Minh
411,CÔNG TY CỔ PHẦN THỰC PHẨM GOLDEN STAR,"860/60N  Xô Viết Nghệ Tĩnh, Phường 25, Quận Bình Thạnh, Thành Phố Hồ Chí Minh, VIỆT NAM",Cheese Coffee,coffee chains and milk tea,"47G Hoa Lan, P.2, Q.Phú Nhuận",10.79684,106.69075,Quận Phú Nhuận,Hồ Chí Minh
412,CÔNG TY CỔ PHẦN THỰC PHẨM GOLDEN STAR,"860/60N  Xô Viết Nghệ Tĩnh, Phường 25, Quận Bình Thạnh, Thành Phố Hồ Chí Minh, VIỆT NAM",Cheese Coffee,coffee chains and milk tea,"307 Hồng Bàng, P.11, Q.Bình Thạnh",10.80237,106.69818,Quận Bình Thạnh,Hồ Chí Minh
413,CÔNG TY CỔ PHẦN THỰC PHẨM GOLDEN STAR,"860/60N  Xô Viết Nghệ Tĩnh, Phường 25, Quận Bình Thạnh, Thành Phố Hồ Chí Minh, VIỆT NAM",Cheese Coffee,coffee chains and milk tea,"53G Nguyễn Du, P.Bến Nghé, Q.1",10.77959,106.70055,Quận 1,Hồ Chí Minh
414,CÔNG TY CỔ PHẦN THỰC PHẨM GOLDEN STAR,"860/60N  Xô Viết Nghệ Tĩnh, Phường 25, Quận Bình Thạnh, Thành Phố Hồ Chí Minh, VIỆT NAM",Cheese Coffee,coffee chains and milk tea,"06 Nguyễn Gia Trí, P.25, Q.Bình Thạnh",10.80426,106.71589,Quận Bình Thạnh,Hồ Chí Minh
415,CÔNG TY CỔ PHẦN THỰC PHẨM GOLDEN STAR,"860/60N  Xô Viết Nghệ Tĩnh, Phường 25, Quận Bình Thạnh, Thành Phố Hồ Chí Minh, VIỆT NAM",Cheese Coffee,coffee chains and milk tea,"190C Phan Văn Trị, P.11, Q.Bình Thạnh",10.81328,106.69526,Quận Bình Thạnh,Hồ Chí Minh
416,CÔNG TY CỔ PHẦN THỰC PHẨM GOLDEN STAR,"860/60N  Xô Viết Nghệ Tĩnh, Phường 25, Quận Bình Thạnh, Thành Phố Hồ Chí Minh, VIỆT NAM",Cheese Coffee,coffee chains and milk tea,"782 Sư Vạn Hạnh, P.12, Q.10",10.77367,106.66862,Quận 10,Hồ Chí Minh
417,CÔNG TY CỔ PHẦN THỰC PHẨM GOLDEN STAR,"860/60N  Xô Viết Nghệ Tĩnh, Phường 25, Quận Bình Thạnh, Thành Phố Hồ Chí Minh, VIỆT NAM",Cheese Coffee,coffee chains and milk tea,"154 Thành Thái, P.12, Q.10",10.77535,106.66404,Quận 10,Hồ Chí Minh
418,CÔNG TY CỔ PHẦN THỰC PHẨM GOLDEN STAR,"860/60N  Xô Viết Nghệ Tĩnh, Phường 25, Quận Bình Thạnh, Thành Phố Hồ Chí Minh, VIỆT NAM",Cheese Coffee,coffee chains and milk tea,"141 Xô Viết Nghệ Tĩnh, P.17, Q.Bình Thạnh",10.79493,106.70947,Quận Bình Thạnh,Hồ Chí Minh
419,HỘ KINH DOANH CHEESE LAB,"288 (tầng trệt) Nguyễn Thị Minh Khai, Phường 6, Quận 3, Thành Phố Hồ Chí Minh, VIỆT NAM",Cheese Lab,coffee chains and milk tea,"228 Nguyễn Thị Minh Khai, P.6, Q.3",10.7743,106.69006,Quận 3,Hồ Chí Minh
420,CHEW TEA,"số 7 B4 ngõ 201 trần quốc hoàn, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội, VIỆT NAM",Chew Tea,coffee chains and milk tea,"7B4 Trần Quốc Hoàn, P.Dịch Vọng, Q.Cầu Giấy",21.04173,105.78445,Quận Cầu Giấy,Hà Nội
421,CHEWY,183 Trần Bình Trọng P.3 Q.5,Chewy,coffee chains and milk tea,"183 Trần Bình Trọng, P.3, Q.5",10.7586,106.68066,Quận 5,Hồ Chí Minh
422,CHEWY,"19 Trần Quang Diệu, P.14, Q.3, TP.HCM",Chewy,coffee chains and milk tea,"19 Trần Quang Diệu, P.14, Q.3",10.78862,106.67826,Quận 3,Hồ Chí Minh
423,CHEWY,"34 Trần Hưng Đạo, P.Phạm Ngũ Lão Q.1",Chewy,coffee chains and milk tea,"34 Trần Hưng Đạo, P.Phạm Ngũ Lão, Q.1",10.76713,106.6945,Quận 1,Hồ Chí Minh
424,CHEWY,426 Phan Xích Long P.2 Q.Phú Nhuận,Chewy,coffee chains and milk tea,"426 Phan Xích Long, P.2, Q.Phú Nhuận",10.80025,106.68475,Quận Phú Nhuận,Hồ Chí Minh
425,CHEWY,64 Nguyễn Đình Chiểu P.Đakao Q.1,Chewy,coffee chains and milk tea,"64 Nguyễn Đình Chiểu, P.Đakao, Q.1",10.78835,106.69943,Quận 1,Hồ Chí Minh
426,CHEWY,"637 Quang Trung, P.11, Gò Vấp",Chewy,coffee chains and milk tea,"637 Quang Trung, P.11, Q.Gò Vấp",10.83589,106.66051,Quận Gò Vấp,Hồ Chí Minh
427,CHEWY,"101 Ton Dat Tien Street, Tan Phu Ward, District 7, Ho Chi Minh, Ho Chi Minh",Chewy,coffee chains and milk tea,"101 Tôn Dật Tiên, P.Tân Phú, Q.7",10.72745,106.7194,Quận 7,Hồ Chí Minh
428,CHEWY,"469, Nguyễn Hữu Thọ, P.Tân Hưng, Q.7",Chewy,coffee chains and milk tea,"469 Nguyễn Hữu Thọ, P.Tân Hưng, Q.7",10.7487101,106.70235,Quận 7,Hồ Chí Minh
429,CHEWY,"""b1 - fm15, 11 Sư Vạn Hạnh, Q.10, TP.HCM""",Chewy,coffee chains and milk tea,"11 Sư Vạn Hạnh, P.12, Q.10",10.77581,106.66836,Quận 10,Hồ Chí Minh
430,CHEWY,"TTTM Vincom Center Đồng Khởi, 72 Lê Thánh Tôn",Chewy,coffee chains and milk tea,"72 Lê Thánh Tôn, P.Bến Nghé, Q.1",10.77767,106.70219,Quận 1,Hồ Chí Minh
431,CHEWY,"257 Hồng Bàng, P.11, Q.5, TP.HCM",Chewy,coffee chains and milk tea,"257 Hồng Bàng, P.11, Q.5",10.75507,106.66163,Quận 5,Hồ Chí Minh
432,CHEWY,"209 Xô Viết Nghệ Tĩnh, P.17, Q.Bình Thạnh, TP.HCM",Chewy,coffee chains and milk tea,"209 Xô Viết Nghệ Tĩnh, P.17, Q.Bình Thạnh",10.79982,106.71116,Quận Bình Thạnh,Hồ Chí Minh
433,CHEWY,"Tầng Trệt, Co.Op Mart Xlhà Nội, 191 Quang Trung, P.Hiệp Phú, Q.9, TP.HCM",Chewy,coffee chains and milk tea,"191 Quang Trung, P.Hiệp Phú, Q.9",10.839,106.77279,Quận 9,Hồ Chí Minh
434,CHICBAE21,"82 Tuệ Tĩnh, P.Nguyễn Du, Quận Hai Bà Trưng, Hà Nội",Chicbae21,coffee chains and milk tea,"82 Tuệ Tĩnh, P.Nguyễn Du, Q.Hai Bà Trưng",21.01516,105.8487,Quận Hai Bà Trưng,Hà Nội
